,price,product_weight_g,dist,order_delivered_customer_day,seller_id_mean,seller_city_mean,customer_city_mean,cluster
39507,24.99,75.0,1471.3316839736258,14,5.743781094527363,5.20036210018105,12.223880597014926,2.0
4296,32.99,650.0,12.334425623711269,4,4.796052631578948,5.20036210018105,4.188768009408998,0.0
13646,58.0,1900.0,507.6162522107928,7,5.0395189003436425,5.20036210018105,7.949838187702265,1.0
95901,78.9,180.0,584.586062362355,5,7.0962962962962965,8.041666666666666,3.9894736842105263,1.0
70909,34.9,300.0,15.28264724561394,1,5.205128205128205,5.063977746870654,4.188768009408998,0.0
7791,8.9,600.0,288.2094029149723,5,8.075601374570446,8.164498531263114,3.5444444444444443,1.0
43844,49.0,250.0,13.94946120785521,1,5.247990815154994,5.20036210018105,4.188768009408998,0.0
62580,69.9,2600.0,17.389653876740514,4,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
58672,18.9,140.0,2362.4512452454624,16,4.873333333333333,5.20036210018105,12.578947368421051,3.0
50807,16.99,390.0,51.71563980148411,6,4.1875,5.20036210018105,4.700787401574803,1.0
54956,92.0,1550.0,291.2007703666285,5,8.455645161290322,8.164498531263114,4.188768009408998,1.0
57655,100.0,340.0,309.30703141752616,16,8.12719298245614,8.26126126126126,3.751412429378531,3.0
16884,159.99,800.0,683.4681233489242,5,6.2924528301886795,6.593373493975903,6.367977528089888,1.0
107552,39.9,150.0,25.203277541607708,1,5.522875816993464,5.20036210018105,4.188768009408998,0.0
68549,29.99,600.0,26.40077614157782,2,4.321100917431193,5.20036210018105,4.188768009408998,0.0
55629,29.0,200.0,8.211016119847416,2,5.247990815154994,5.20036210018105,4.188768009408998,0.0
37089,35.99,150.0,86.29499670135374,1,4.818181818181818,5.20036210018105,3.756410256410256,0.0
64735,54.99,200.0,335.78125382656,11,5.0365448504983386,5.063977746870654,8.893838158871567,2.0
54696,54.99,350.0,3.861106644184992,1,5.0365448504983386,5.063977746870654,3.751412429378531,0.0
14850,79.99,250.0,16.339244060719697,5,5.0365448504983386,5.063977746870654,4.188768009408998,1.0
8262,109.9,835.0,579.089473520136,12,8.075601374570446,8.164498531263114,8.893838158871567,2.0
20143,56.99,400.0,484.62726555161663,5,5.0365448504983386,5.063977746870654,7.747474747474747,1.0
81721,44.99,117.0,25.352215379234167,1,4.873333333333333,5.20036210018105,4.188768009408998,0.0
52698,28.9,113.0,878.0284505063685,16,8.570652173913043,8.041666666666666,8.893838158871567,3.0
66252,65.0,250.0,19.645690916805616,1,5.247990815154994,5.20036210018105,4.188768009408998,0.0
25808,99.99,1200.0,35.40732557090672,0,6.062874251497006,5.20036210018105,3.836734693877551,0.0
37747,39.9,150.0,5.73922872906906,0,5.522875816993464,5.20036210018105,3.751412429378531,0.0
10159,59.9,1550.0,430.14367587555535,7,8.292792792792794,8.292792792792794,3.889908256880734,1.0
29193,14.9,200.0,8.686232437424422,2,4.780952380952381,5.20036210018105,4.188768009408998,0.0
18283,59.9,1850.0,447.71714529953374,5,8.292792792792794,8.292792792792794,3.7177914110429446,1.0
64521,48.0,250.0,10.3915519592295,2,5.247990815154994,5.20036210018105,4.188768009408998,0.0
12779,56.99,850.0,311.7455436036648,9,7.84549356223176,8.164498531263114,4.188768009408998,1.0
85404,45.0,250.0,2143.898537480642,6,5.247990815154994,5.20036210018105,11.414285714285716,1.0
34767,29.0,200.0,368.2749281242332,6,5.247990815154994,5.20036210018105,8.893838158871567,1.0
37965,25.99,150.0,728.4823094007011,7,5.185567010309279,5.20036210018105,9.617021276595745,1.0
63970,49.95,350.0,278.5558868544862,4,8.373983739837398,8.164498531263114,3.836734693877551,0.0
4041,340.0,3650.0,289.7796818892186,9,8.39080459770115,8.26126126126126,4.256410256410256,1.0
104673,45.9,900.0,233.8497665997953,7,8.075601374570446,8.164498531263114,3.756410256410256,1.0
13405,380.0,15950.0,4.911778810461663,1,6.608108108108108,5.20036210018105,3.944881889763779,0.0
46388,229.9,4400.0,300.01982960069654,3,7.927835051546392,8.164498531263114,4.188768009408998,0.0
23043,18.9,200.0,558.344832885066,8,4.873333333333333,5.20036210018105,6.913793103448276,1.0
64458,44.0,250.0,363.86890367339873,9,5.247990815154994,5.20036210018105,8.893838158871567,1.0
16855,12.25,175.0,498.70983229707525,3,5.934782608695652,5.20036210018105,7.949838187702265,0.0
7764,49.9,1500.0,761.3105772410155,12,8.292792792792794,8.292792792792794,11.12,2.0
87372,21.9,100.0,99.8740932105374,4,5.054347826086956,5.526881720430108,3.756410256410256,0.0
39370,35.99,125.0,362.4190179141969,3,4.873333333333333,5.20036210018105,6.367977528089888,0.0
37711,13.65,200.0,485.3770339684569,8,5.934782608695652,5.20036210018105,7.949838187702265,1.0
106484,56.99,400.0,877.865527456972,12,5.0365448504983386,5.063977746870654,9.09181141439206,2.0
16885,54.99,900.0,570.275340154087,14,8.13469387755102,8.164498531263114,8.893838158871567,2.0
105459,59.9,1800.0,423.13083616962,6,8.292792792792794,8.292792792792794,4.188768009408998,1.0
12313,43.5,100.0,207.99513802144693,16,8.313725490196079,8.26126126126126,5.748538011695906,3.0
107668,145.0,335.0,346.17339572942734,13,8.12719298245614,8.26126126126126,5.169934640522876,2.0
46552,78.0,1350.0,470.5991910985571,5,4.796052631578948,5.20036210018105,7.906666666666666,1.0
1807,45.9,900.0,543.8585506491769,9,8.075601374570446,8.164498531263114,7.949838187702265,1.0
50002,29.99,350.0,11.70660067416254,9,4.114583333333333,5.20036210018105,4.188768009408998,1.0
20028,45.0,800.0,8.166838060749958,2,5.0395189003436425,5.20036210018105,4.188768009408998,0.0
53081,65.9,800.0,905.47930013433,14,8.455645161290322,8.164498531263114,11.12280701754386,2.0
29271,85.0,1700.0,522.190283951374,6,8.39080459770115,8.26126126126126,9.10344827586207,1.0
61992,79.9,17100.0,21.75660185064594,1,5.205128205128205,5.063977746870654,4.188768009408998,0.0
38738,89.0,1112.0,566.847835667201,12,8.455645161290322,8.164498531263114,8.623376623376624,2.0
